department_name_raw,parent_department_display_name,section_display_name,department_display_name,mapping_status,mapping_source,mapping_note
世保＊生活保健課,世田谷保健所,生活保健課,世田谷保健所 生活保健課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ208で照合
政策＊ふるさと納税対策課,政策経営部,ふるさと納税対策課,政策経営部 ふるさと納税対策課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ163で照合
政策＊官民行政手法改革課,政策経営部,官民行政手法改革課,政策経営部 官民行政手法改革課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ163・164で照合
政策＊広報広聴課,政策経営部,広報広聴課,政策経営部 広報広聴課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ163で照合
政策＊財政課,政策経営部,財政課,政策経営部 財政課,matched,official_pdf,内訳事業名・金額・budget_item_keyを一般・特別会計PDFページ164以降で照合
政策＊政策企画課,政策経営部,政策企画課,政策経営部 政策企画課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ163・237で照合
政策＊政策研究・調査課,政策経営部,政策研究・調査課,政策経営部 政策研究・調査課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ163・164・177で照合
清掃・リサ＊管理課,環境政策部,管理課,環境政策部 管理課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ200・201で照合
清掃＊砧清掃事務所,環境政策部,砧清掃事務所,環境政策部 砧清掃事務所,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ200・201で照合
清掃＊玉川清掃事務所,環境政策部,玉川清掃事務所,環境政策部 玉川清掃事務所,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ200で照合
清掃＊事業課,環境政策部,事業課,環境政策部 事業課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ200・201で照合
清掃＊世田谷清掃事務所,環境政策部,世田谷清掃事務所,環境政策部 世田谷清掃事務所,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ200で照合
生政＊健康村・ふる交流課,生活文化政策部,健康村・ふる交流課,生活文化政策部 健康村・ふる交流課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ168・173で照合
生政＊市民活動推進課,生活文化政策部,市民活動推進課,生活文化政策部 市民活動推進課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ167・172・175・237で照合
生政＊人権男女共同参画課,生活文化政策部,人権男女共同参画課,生活文化政策部 人権男女共同参画課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ168・169で照合
生政＊文化・国際課,生活文化政策部,文化・国際課,生活文化政策部 文化・国際課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ172～174で照合
選挙管理委員会事務局,選挙管理委員会事務局,,選挙管理委員会事務局,already_display,official_csv,公式CSVで正式名称を保持しPDFページ178・237とも照合
総務＊区政情報課,総務部,区政情報課,総務部 区政情報課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ162で照合
総務＊研修担当課,総務部,研修担当課,総務部 研修担当課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ163で照合
総務＊職員厚生課,総務部,職員厚生課,総務部 職員厚生課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ163・236で照合
総務＊人事課,総務部,人事課,総務部 人事課,matched,official_pdf,内訳事業名・金額・budget_item_keyを一般・特別会計PDFページ163以降で照合
総務＊総務課,総務部,総務課,総務部 総務課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ162で照合
地域行政部＊地域行政課,地域行政部,地域行政課,地域行政部 地域行政課,already_display,official_csv,公式CSVの正式親組織名を保持しPDFページ167・168・237とも照合
地行＊マイナンバー担当課,地域行政部,マイナンバー担当課,地域行政部 マイナンバー担当課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ176で照合
地行＊住民記録・戸籍課,地域行政部,住民記録・戸籍課,地域行政部 住民記録・戸籍課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ167・169・170・176で照合
庁舎＊庁舎管理担当課,庁舎整備担当部,庁舎管理担当課,庁舎整備担当部 庁舎管理担当課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ162で照合
都政＊居住支援課,都市整備政策部,居住支援課,都市整備政策部 居住支援課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ222で照合
都政＊建築調整課,都市整備政策部,建築調整課,都市整備政策部 建築調整課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ221で照合
都政＊住宅課,都市整備政策部,住宅課,都市整備政策部 住宅課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ222で照合
都政＊都市デザイン課,都市整備政策部,都市デザイン課,都市整備政策部 都市デザイン課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ223・224で照合
都政＊都市計画課,都市整備政策部,都市計画課,都市整備政策部 都市計画課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ223・224・239で照合
