revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_display_name,source_funding_category_name,funding_nature,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,is_zero_amount,related_program_count,source_file,source_row_number
rd_2026_general_revenue_11_01_01_12_01_3665570000,rs_2026_general_revenue_11_01_01_12,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,12,児童福祉施設等費,01,児童福祉施設等入所者負担金,子ども・若者部 児童相談支援課,負担金,specific,7709,10219,2510,false,1,ippansainyu.csv,18127
rd_2026_general_revenue_11_01_01_13_01_3665570000,rs_2026_general_revenue_11_01_01_13,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,13,障害児入所施設費,01,障害児施設入所者負担金,子ども・若者部 児童相談支援課,負担金,specific,699,960,261,false,1,ippansainyu.csv,18128
rd_2026_general_revenue_11_01_01_14_01_3665570000,rs_2026_general_revenue_11_01_01_14,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,14,措置費共同経理費,01,措置費共同経理負担金,子ども・若者部 児童相談支援課,負担金,specific,0,118,118,false,1,ippansainyu.csv,18129
rd_2026_general_revenue_11_01_01_14_02_3095100000,rs_2026_general_revenue_11_01_01_14,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,14,措置費共同経理費,02,措置費共同経理負担金,DX推進担当部 ＤＸ推進担当課,負担金,specific,0,3478,3478,false,1,ippansainyu.csv,16924
rd_2026_general_revenue_11_01_03_02_01_3835300000,rs_2026_general_revenue_11_01_03_02,2026_general_revenue_11_01_03,2026,general,一般会計,11,分担金及負担金,01,負担金,03,土木費負担金,02,多摩川玉堤広場管理費,01,多摩川玉堤広場共同管理負担金,みどり33推進担当部 公園緑地課,負担金,specific,75859,85386,9527,false,1,ippansainyu.csv,18619
rd_2026_general_revenue_11_01_03_06_01_3895300000,rs_2026_general_revenue_11_01_03_06,2026_general_revenue_11_01_03,2026,general,一般会計,11,分担金及負担金,01,負担金,03,土木費負担金,06,無電柱化整備費,01,無電柱化事業建設負担金（世田谷・北沢・烏山）,土木部 工事第一課,負担金,specific,0,9725,9725,false,1,ippansainyu.csv,18709
rd_2026_general_revenue_11_01_03_07_01_3865500000,rs_2026_general_revenue_11_01_03_07,2026_general_revenue_11_01_03,2026,general,一般会計,11,分担金及負担金,01,負担金,03,土木費負担金,07,鉄道立体化調査費,01,鉄道立体化調査負担金,道路・交通計画部 交通政策課,負担金,specific,8000,0,-8000,true,0,ippansainyu.csv,18673
rd_2026_general_revenue_12_01_01_01_05_2535100000,rs_2026_general_revenue_12_01_01_01,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,01,区民会館,05,烏山区民会館,烏山総合支所 地域振興課,使用料,specific,25300,28699,3399,false,1,ippansainyu.csv,16860
rd_2026_general_revenue_12_01_01_01_07_3405400000,rs_2026_general_revenue_12_01_01_01,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,01,区民会館,07,世田谷区民会館,生活文化政策部 文化・国際課,使用料,specific,51543,92648,41105,false,1,ippansainyu.csv,17045
rd_2026_general_revenue_12_01_01_02_01_2535100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,01,烏山区民センター,烏山総合支所 地域振興課,使用料,specific,5221,5474,253,false,1,ippansainyu.csv,16861
rd_2026_general_revenue_12_01_01_02_02_2135100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,02,太子堂区民センター,世田谷総合支所 地域振興課,使用料,specific,5444,6355,911,false,1,ippansainyu.csv,16739
rd_2026_general_revenue_12_01_01_02_03_2135100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,03,弦巻区民センター,世田谷総合支所 地域振興課,使用料,specific,9163,8761,-402,false,1,ippansainyu.csv,16740
rd_2026_general_revenue_12_01_01_02_04_2135100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,04,宮坂区民センター,世田谷総合支所 地域振興課,使用料,specific,13462,15334,1872,false,1,ippansainyu.csv,16741
rd_2026_general_revenue_12_01_01_02_05_2235100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,05,代田区民センター,北沢総合支所 地域振興課,使用料,specific,5707,6387,680,false,1,ippansainyu.csv,16777
