budget_program_identity_id,fiscal_year,account_code,account_name,budget_item_key,display_program_name,normalized_program_name,department_name,normalized_department_name,candidate_budget_book_pages,total_amount_thousand_yen,member_group_count,source_type
bpi_949224f77e552980b07caab411623bfab2d4d6f76a4e75fd4a3883b09f37f116,2026,general,一般会計,2026_general_expenditure_02_01_01,郵便管理事務,郵便管理事務,総務＊区政情報課,総務*区政情報課,317,171977,1,derived
bpi_44599ef398f856b2bfbfaa93833085d9c06b76be3a78680775caa022c2d7c544,2026,general,一般会計,2026_general_expenditure_02_01_01,非常勤職員等事務,非常勤職員等事務,総務＊人事課,総務*人事課,317,13871,1,derived
bpi_3464553d9d8c47ccc9a48080391cb29fb2d44e7256a25786bfd92d1c768dd694,2026,general,一般会計,2026_general_expenditure_02_01_02,ＦＭ放送,FM放送,政策＊広報広聴課,政策*広報広聴課,319,48441,1,derived
bpi_792d999f0bcce44df6e0a98ffc0686d4ac7561846f614ec3a7f28dd4acf89053,2026,general,一般会計,2026_general_expenditure_02_01_02,お問合せセンター運営,お問合せセンター運営,政策＊広報広聴課,政策*広報広聴課,319,131854,1,derived
bpi_6be01a354c49d1f568d25ef507acecf1c19daca25e56f35babc9a9cd1c75d545,2026,general,一般会計,2026_general_expenditure_02_01_02,区のおしらせ『せたがや』発行,区のおしらせ『せたがや』発行,政策＊広報広聴課,政策*広報広聴課,319,200331,1,derived
bpi_8a09d111d62cb3871fd6fe787520abf79fce7e10ec16bb893103a2164a4a45f6,2026,general,一般会計,2026_general_expenditure_02_01_02,区の取材及び報道事務,区の取材及び報道事務,政策＊広報広聴課,政策*広報広聴課,319,5085,1,derived
bpi_2ebebeafea2dd534586e4670e355f38f45018655c2390044a7e8840362d2b8f7,2026,general,一般会計,2026_general_expenditure_02_01_02,区政ＰＲ,区政PR,政策＊広報広聴課,政策*広報広聴課,319,22068,1,derived
bpi_94fb328addbfa734cd3b82cc62391984f95beadf03ec76e7d56f0df0242347fe,2026,general,一般会計,2026_general_expenditure_02_01_02,区民の声,区民の声,政策＊広報広聴課,政策*広報広聴課,319,9077,1,derived
bpi_01ddd512d803a87850cd0fd82cc345ec18c3ef27b85df5b2a5108fdab4720ed6,2026,general,一般会計,2026_general_expenditure_02_01_02,区民相談等事業運営,区民相談等事業運営,世支＊地域振興課,世支*地域振興課,319,19763,1,derived
bpi_9db8f67b717c011da3626b8024b1f00c9705b151a819e8e72833d7a4daa0fdc0,2026,general,一般会計,2026_general_expenditure_02_01_03,せたがや自治政策研究所の運営,せたがや自治政策研究所の運営,政策＊政策研究・調査課,政策*政策研究・調査課,319|321,9257,1,derived
bpi_3680173e66805d0858acc710fd6593076d09cc7867962a69c57c05dc22a04804,2026,general,一般会計,2026_general_expenditure_02_01_03,区史編さん事業,区史編さん事業,政策＊政策企画課,政策*政策企画課,319|321,18589,1,derived
bpi_ab9c693c25152019a3a510eaf52c1da92e1c4fa373af908d2f79d577713be496,2026,general,一般会計,2026_general_expenditure_02_01_03,大学連携事業,大学連携事業,政策＊政策研究・調査課,政策*政策研究・調査課,319|321,2666,1,derived
bpi_7fc4f682e389d5fa8757d40473bae890813bac22946d85e01f87adeec1405414,2026,general,一般会計,2026_general_expenditure_02_01_03,官民連携の推進,官民連携の推進,政策＊官民行政手法改革課,政策*官民行政手法改革課,319|321,27492,1,derived
bpi_1102199c3a7e3b90fcca04b6408c6b947880ec27fb1732112822ba5427868343,2026,general,一般会計,2026_general_expenditure_02_01_03,寄附文化の醸成,寄附文化の醸成,政策＊ふるさと納税対策課,政策*ふるさと納税対策課,319|321,345154,1,derived
bpi_d20f8dd995304ee1b4326a41cef4d4af14311b2709bd5313aa727099e18fd6a5,2026,general,一般会計,2026_general_expenditure_02_01_03,政策経営部庶務事務,政策経営部庶務事務,政策＊政策企画課,政策*政策企画課,319|321,43590,1,derived
bpi_6dbde2a8d407da3c8b892feeb0bc82d2051749fe27836d793dc3ca0bbf4e1d45,2026,general,一般会計,2026_general_expenditure_02_01_03,自治体間連携事業,自治体間連携事業,政策＊官民行政手法改革課,政策*官民行政手法改革課,319|321,372,1,derived
bpi_b2ce9144737eb694e75054758c454d6fbe7fd96e4097fc4af2a819b5a3ec749d,2026,general,一般会計,2026_general_expenditure_02_01_03,行政経営改革の推進,行政経営改革の推進,政策＊政策企画課,政策*政策企画課,319|321,16723,1,derived
bpi_81a10afcb54e0e9a1b40b312735f3b9f7971355805cba1571ea177a8c1adc892,2026,general,一般会計,2026_general_expenditure_02_01_03,計画行政の推進,計画行政の推進,政策＊政策企画課,政策*政策企画課,319|321,138883,1,derived
bpi_ace1668693b171d63707c4b9f73f12db4ab7f576aae72a53463e0c3c78b166fc,2026,general,一般会計,2026_general_expenditure_02_01_04,ＤＸ推進,DX推進,ＤＸ＊ＤＸ推進担当課,DX*DX推進担当課,321,58835,1,derived
bpi_fadf70dcc64395aeebe5ae2480de4a313ce8f1119b0c9185ae88bd950b75b2fa,2026,general,一般会計,2026_general_expenditure_02_01_04,システム開発及び改善,システム開発及び改善,ＤＸ＊ＤＸ推進担当課,DX*DX推進担当課,321,976475,1,derived
bpi_0f302cca256f2edd8d92abc04bed474bc2e7e7591d70fbbfef401ef4b2ea1564,2026,general,一般会計,2026_general_expenditure_02_01_04,事務センター改修,事務センター改修,ＤＸ＊ＤＸ推進担当課,DX*DX推進担当課,321,16370,1,derived
bpi_906a1028992801cdb02369beb0161be959ae7785666028bde3c67211400eeda4,2026,general,一般会計,2026_general_expenditure_02_01_04,事務センター維持,事務センター維持,ＤＸ＊ＤＸ推進担当課,DX*DX推進担当課,321,158941,1,derived
bpi_8200d57e93741aa8b0ce1486c4226edd5ab5d4ae972f8caa7f7f0d3cafe828d2,2026,general,一般会計,2026_general_expenditure_02_01_04,公衆無線ＬＡＮ環境整備事業,公衆無線LAN環境整備事業,ＤＸ＊ＤＸ推進担当課,DX*DX推進担当課,321,114323,1,derived
bpi_1accd222350bdb9f6be90ef20cec7890d84f0d5118de8a58f9aaa67ab17a8335,2026,general,一般会計,2026_general_expenditure_02_01_04,共通基盤システム運用,共通基盤システム運用,ＤＸ＊ＤＸ推進担当課,DX*DX推進担当課,321,6827329,1,derived
bpi_c8f71e18c243fb14f7f2387161d408a5dbaf9a28862c72b9dc2c824621dfe7e4,2026,general,一般会計,2026_general_expenditure_02_01_04,基幹業務システム運用,基幹業務システム運用,ＤＸ＊ＤＸ推進担当課,DX*DX推進担当課,321,2090298,1,derived
bpi_0cb7e983c1d9136ef5a28ea701736e9b27f40a8e32b773e0c7e97a1be33627fe,2026,general,一般会計,2026_general_expenditure_02_01_04,庁内電算機システム運用,庁内電算機システム運用,ＤＸ＊ＤＸ推進担当課,DX*DX推進担当課,321,3983515,1,derived
bpi_c9f7944a2ed29d9526e10ec92dc78abd95f6c561f58794e596f7876b2dd33d94,2026,general,一般会計,2026_general_expenditure_02_01_05,契約検査,契約検査,財務部＊経理課,財務部*経理課,321,8993,1,derived
bpi_6970561bbecf7067c386cadf9ee6f64650c7b8422b32d4756d67da91710cea5d,2026,general,一般会計,2026_general_expenditure_02_01_05,財政事務,財政事務,政策＊財政課,政策*財政課,321,936,1,derived
bpi_6ea27803ff54cc5d7833a00b0d668ec1025e93fe56e6e8c7281b616c2bab0e91,2026,general,一般会計,2026_general_expenditure_02_01_06,公共建築保全業務の推進,公共建築保全業務の推進,営繕＊公マネ課,営繕*公マネ課,321|323,960972,1,derived
bpi_09e43242953449024ee433e03f81e98c865ff22baa5b9eec70f913e1639cd073,2026,general,一般会計,2026_general_expenditure_02_01_06,区有財産管理,区有財産管理,財務部＊経理課,財務部*経理課,321|323,4308,1,derived
bpi_f48a780c75329db764d8ac87eba0cd6dfe353107844a86432df3bcb869e8c49b,2026,general,一般会計,2026_general_expenditure_02_01_06,施設営繕事務,施設営繕事務,営繕＊公マネ課,営繕*公マネ課,321|323,5798,1,derived
bpi_d887d3df9aed2fc8ad1ad391df345191226f7c8169c578f01c80a96cce72b748,2026,general,一般会計,2026_general_expenditure_02_01_06,用地事務,用地事務,財務＊用地課,財務*用地課,321|323,2027,1,derived
bpi_d90e2cd25587209d5ab3c88ac0efb0602867b32d7756816adc5e39fde54c2470,2026,general,一般会計,2026_general_expenditure_02_01_06,自治体総合賠償責任保険分担金,自治体総合賠償責任保険分担金,財務部＊経理課,財務部*経理課,321|323,19151,1,derived
bpi_562e82e24ef543ad19a29149103db89abd077301f1ce253a31df40ca44022409,2026,general,一般会計,2026_general_expenditure_02_01_06,財務部庶務事務,財務部庶務事務,財務部＊経理課,財務部*経理課,321|323,1772,1,derived
bpi_41863253eb00be299f2f893e6d0e8a7c264e977f419a8d7090b73ed0334f9136,2026,general,一般会計,2026_general_expenditure_02_01_06,財産評価委員会,財産評価委員会,財務部＊経理課,財務部*経理課,321|323,480,1,derived
bpi_8004fa9f72679d115c6aecae6016fa2e147053c6befbe7050ec9b0977a5dad1c,2026,general,一般会計,2026_general_expenditure_02_01_07,公用自動車の脱炭素化の推進,公用自動車の脱炭素化の推進,財務部＊経理課,財務部*経理課,323,147871,1,derived
bpi_5f299f217dfdb9b8265b0632e8c397b444fd7fdbbf509ebd3e74826ee208921f,2026,general,一般会計,2026_general_expenditure_02_01_07,車両維持運営,車両維持運営,財務部＊経理課,財務部*経理課,323,57295,1,derived
bpi_668268498ee012fdb3ae4edcd7de00b0d0d53e0334503e5051d0527fc8cdc364,2026,general,一般会計,2026_general_expenditure_02_01_08,会計室庶務事務,会計室庶務事務,会計＊会計課,会計*会計課,323,23490,1,derived
bpi_851cbc3f0a76e721ff9b3c26d645b93d67bd23a2b0492b5ff9f29cbe52982416,2026,general,一般会計,2026_general_expenditure_02_01_08,公金取扱手数料,公金取扱手数料,会計＊会計課,会計*会計課,323,218079,1,derived
bpi_046c7a8877a92e63510e000a76bf00238f30982119fd29d540a2d2d8352859c2,2026,general,一般会計,2026_general_expenditure_02_01_08,新公会計制度の推進,新公会計制度の推進,会計＊会計課,会計*会計課,323,990,1,derived
bpi_0342095b88060e967ae274ee6e2ee1e97debd297243cef51ce8fa26e1ec3d8e9,2026,general,一般会計,2026_general_expenditure_02_02_01,納税奨励,納税奨励,財務部＊課税課,財務部*課税課,325,956,1,derived
bpi_1648ec561aaef4f7d70cdf8751234084887a29cf35b91cd10e1dfcda64487bf0,2026,general,一般会計,2026_general_expenditure_02_02_01,納税意識啓発事業,納税意識啓発事業,財務部＊納税課,財務部*納税課,325,1226,1,derived
bpi_33e89cb42b3447c815f652a156d83aec3fbf81f2b7f156bd38dc0832c5023412,2026,general,一般会計,2026_general_expenditure_02_02_02,区税徴収,区税徴収,財務部＊納税課,財務部*納税課,325,214457,1,derived
bpi_d868092c0dfb0b8bba64746beb2be9cd5ccb1935b9c1ed4548ceb478bdd9c2c1,2026,general,一般会計,2026_general_expenditure_02_02_02,区税賦課,区税賦課,財務部＊課税課,財務部*課税課,325,515119,1,derived
bpi_2f1e8872fff93a4479b30a00bf63f5f32f63dfeaa853c7e9c5001677fcc79391,2026,general,一般会計,2026_general_expenditure_02_02_02,特別区税等歳出還付及加算金,特別区税等歳出還付及加算金,財務部＊納税課,財務部*納税課,325,650000,1,derived
bpi_2e566fd2f0ccb408d7bfaa68296fa51b599f9bc4f52d920690ad759974f523a5,2026,general,一般会計,2026_general_expenditure_02_03_01,ＤＶ防止・困難な問題を抱える女性支援事業,DV防止・困難な問題を抱える女性支援事業,生政＊人権男女共同参画課,生政*人権男女共同参画課,327,24858,1,derived
bpi_6d3fd00a2a1e9fd40c8112a7399f4319fba7768b0763dd4ea8fcbcc6acafd3c2,2026,general,一般会計,2026_general_expenditure_02_03_01,ふるさとまつり協賛（世田谷）,ふるさとまつり協賛(世田谷),世支＊地域振興課,世支*地域振興課,327,7087,1,derived
bpi_4c0364fd16219b65bd54e96d6fa4d4c62fb5019b2bf11b6d09220e4b9ad8e4a1,2026,general,一般会計,2026_general_expenditure_02_03_01,ふるさとまつり協賛（北沢）,ふるさとまつり協賛(北沢),北支＊地域振興課,北支*地域振興課,327,24874,1,derived
bpi_4da3f9778fb77adb826030b52af036d5bcf5e1a5803bc1cb319575fa69e0d85b,2026,general,一般会計,2026_general_expenditure_02_03_01,ふるさとまつり協賛（烏山）,ふるさとまつり協賛(烏山),烏支＊地域振興課,烏支*地域振興課,327,14868,1,derived
bpi_71e8606d34227b7bb924b7cd377157b0413de5b6e657d380cb8a8e1efcc9da02,2026,general,一般会計,2026_general_expenditure_02_03_01,ふるさとまつり協賛（玉川）,ふるさとまつり協賛(玉川),玉支＊地域振興課,玉支*地域振興課,327,1752,1,derived
bpi_a3407d11f055cf53920745ab64bec5a7b80b3355b34e13f1f2035605058d7f7f,2026,general,一般会計,2026_general_expenditure_02_03_01,ふるさとまつり協賛（砧）,ふるさとまつり協賛(砧),砧支＊地域振興課,砧支*地域振興課,327,792,1,derived
bpi_a420b0628c33d5e4adc2069e4f91788d6355d18724d9bfaa6d8fda43c48d3eff,2026,general,一般会計,2026_general_expenditure_02_03_01,まちづくり推進（世田谷）,まちづくり推進(世田谷),世支＊地域振興課,世支*地域振興課,327,10076,1,derived
bpi_2dde2589d7651acf73359e8c7cddc9f71ab4bd2049e88479555cede65faf785e,2026,general,一般会計,2026_general_expenditure_02_03_01,まちづくり推進（北沢）,まちづくり推進(北沢),北支＊地域振興課,北支*地域振興課,327,4287,1,derived
