revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,general_revenue_thousand_yen,specific_revenue_thousand_yen,special_account_revenue_thousand_yen,detail_count,validation_status,source_type
rs_2026_general_revenue_12_02_04_03,2026_general_revenue_12_02_04,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,04,衛生手数料,03,畜犬登録,20567,20771,204,20771,0,0,20771,0,1,ok,derived
rs_2026_general_revenue_12_02_04_04,2026_general_revenue_12_02_04,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,04,衛生手数料,04,食品衛生,26650,27000,350,27000,0,0,27000,0,1,ok,derived
rs_2026_general_revenue_12_02_04_05,2026_general_revenue_12_02_04,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,04,衛生手数料,05,環境衛生,5472,6898,1426,6898,0,0,6898,0,1,ok,derived
rs_2026_general_revenue_12_02_04_06,2026_general_revenue_12_02_04,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,04,衛生手数料,06,診療所開設許可等,717,729,12,729,0,0,729,0,1,ok,derived
rs_2026_general_revenue_12_02_04_08,2026_general_revenue_12_02_04,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,04,衛生手数料,08,医務薬務,4533,4559,26,4559,0,0,4559,0,1,ok,derived
rs_2026_general_revenue_12_02_04_09,2026_general_revenue_12_02_04,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,04,衛生手数料,09,毒劇物,188,210,22,210,0,0,210,0,1,ok,derived
rs_2026_general_revenue_12_02_04_14,2026_general_revenue_12_02_04,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,04,衛生手数料,14,麻薬,745,703,-42,703,0,0,703,0,1,ok,derived
rs_2026_general_revenue_12_02_05_01,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,01,屋外広告物許可,23400,20900,-2500,20900,0,0,20900,0,2,ok,derived
rs_2026_general_revenue_12_02_05_02,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,02,自動車臨時運行許可,1875,1875,0,1875,0,0,1875,0,1,ok,derived
rs_2026_general_revenue_12_02_05_03,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,03,放置自転車,33408,27708,-5700,27708,0,0,27708,0,2,ok,derived
