revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_code,department_name,source_revenue_number,source_revenue_number_name,source_funding_category_code,source_funding_category_name,funding_nature,previous_amount_thousand_yen,requested_amount_thousand_yen,estimated_amount_thousand_yen,current_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,request_content,assessment_content,is_zero_amount,source_type,source_file,source_row_number
rd_2026_general_revenue_11_01_01_05_01_3665500000,rs_2026_general_revenue_11_01_01_05,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,05,児童保護費,01,入院助産入所者負担金,3665500000,子若＊子ども家庭課,19,負担金児童保護費入院助産入所者負担金,6,負担金,specific,732,732,732,732,732,0,,,false,official_csv,ippansainyu.csv,18046
rd_2026_general_revenue_11_01_01_08_02_3665500000,rs_2026_general_revenue_11_01_01_08,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,08,母子生活支援施設費,02,私立母子生活支援施設入所者負担金,3665500000,子若＊子ども家庭課,21,負担金母子生活支援施設費私立母子生活支援施設入所者負担金,6,負担金,specific,239,226,226,226,226,0,,,false,official_csv,ippansainyu.csv,18047
rd_2026_general_revenue_11_01_01_08_04_3665500000,rs_2026_general_revenue_11_01_01_08,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,08,母子生活支援施設費,04,区立母子生活支援施設入所者負担金,3665500000,子若＊子ども家庭課,8153,負担金母子生活支援施設費区立母子生活支援施設入所者負担金,6,負担金,specific,420,395,395,395,395,0,,,false,official_csv,ippansainyu.csv,18048
rd_2026_general_revenue_11_01_01_11_01_3665570000,rs_2026_general_revenue_11_01_01_11,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,11,児童養護施設退所者等住宅支援費,01,児童養護施設退所者等入居者負担金,3665570000,子若＊児童相談支援課,6048,負担金児童養護施設退所者等住宅支援費児童養護施設退所者等入居者負担金,6,負担金,specific,620,500,500,500,500,0,,,false,official_csv,ippansainyu.csv,18126
rd_2026_general_revenue_11_01_01_12_01_3665570000,rs_2026_general_revenue_11_01_01_12,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,12,児童福祉施設等費,01,児童福祉施設等入所者負担金,3665570000,子若＊児童相談支援課,7171,負担金児童福祉施設等費児童福祉施設等入所者負担金,6,負担金,specific,7709,10219,10219,10219,10219,0,,,false,official_csv,ippansainyu.csv,18127
rd_2026_general_revenue_11_01_01_13_01_3665570000,rs_2026_general_revenue_11_01_01_13,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,13,障害児入所施設費,01,障害児施設入所者負担金,3665570000,子若＊児童相談支援課,7172,負担金障害児入所施設費障害児施設入所者負担金,6,負担金,specific,699,960,960,960,960,0,,,false,official_csv,ippansainyu.csv,18128
rd_2026_general_revenue_11_01_01_14_01_3665570000,rs_2026_general_revenue_11_01_01_14,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,14,措置費共同経理費,01,措置費共同経理負担金,3665570000,子若＊児童相談支援課,9190,負担金措置費共同経理費措置費共同経理負担金,6,負担金,specific,0,3596,118,118,118,0,,,false,official_csv,ippansainyu.csv,18129
rd_2026_general_revenue_11_01_01_14_02_3095100000,rs_2026_general_revenue_11_01_01_14,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,14,措置費共同経理費,02,措置費共同経理負担金,3095100000,ＤＸ＊ＤＸ推進担当課,9316,負担金措置費共同経理費措置費共同経理負担金,6,負担金,specific,0,3478,3478,3478,3478,0,,,false,official_csv,ippansainyu.csv,16924
rd_2026_general_revenue_11_01_03_02_01_3835300000,rs_2026_general_revenue_11_01_03_02,2026_general_revenue_11_01_03,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,03,土木費負担金,02,多摩川玉堤広場管理費,01,多摩川玉堤広場共同管理負担金,3835300000,みどり３３＊公園緑地課,23,負担金多摩川玉堤広場管理費多摩川玉堤広場共同管理負担金,6,負担金,specific,75859,85386,85386,85386,85386,0,,,false,official_csv,ippansainyu.csv,18619
rd_2026_general_revenue_11_01_03_06_01_3895300000,rs_2026_general_revenue_11_01_03_06,2026_general_revenue_11_01_03,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,03,土木費負担金,06,無電柱化整備費,01,無電柱化事業建設負担金（世田谷・北沢・烏山）,3895300000,土＊工事第一課,7127,負担金無電柱化整備費無電柱化事業建設負担金（世田谷・北沢・烏山）,6,負担金,specific,0,9725,9725,9725,9725,0,,,false,official_csv,ippansainyu.csv,18709
