年度,当初補正区分,当初補正区分名称,事業区分,事業区分名称,所属,所属名称,事業番号,事業番号名称,会計,会計名称,款,款名称,項,項名称,目,目名称,大事業,大事業名称,予算事業,予算事業名称,内訳事業,内訳事業名称,前々年度決算額,予算前額,予算要求額,予算見積額,現計予算額,充当前額,充当要求額,充当額,現計充当額,一般財源前額,要求一般財源額,一般財源額,一般財源現計額,要求額対見積額,前年度対要求額,前年度対見積額,要求内容,補正内容,査定内容,行財政改善大区分,行財政改善大区分名称,行財政改善中区分,行財政改善中区分名称,行財政改善小区分,行財政改善小区分名称,重点事業区分,重点事業区分名称,実施計画大区分,実施計画大区分名称,実施計画中区分,実施計画中区分名称,実施計画小区分,実施計画小区分名称,実施計画細区分,実施計画細区分名称,普通会計区分,普通会計区分名称,行政評価結果,行政評価結果名称,要求枠区分,要求枠区分名称,要求基準,要求基準額,要求基準一般財源,予備区分１,予備区分１名称,予備区分２,予備区分２名称,予備区分３,予備区分３名称,予備区分４,予備区分４名称,予備区分５,予備区分５名称,予備区分６,予備区分６名称,予備区分７,予備区分７名称,予備区分８,予備区分８名称,査定区分,要求（予算額）,一次（予算額）,二次（予算額）,三次（予算額）,四次（予算額）,五次（予算額）,六次（予算額）,事業別性質別区分,事業別性質別区分名称,政策要求額,臨時要求額,政策査定額,臨時査定額
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2156,桜丘区民センター維持運営,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,6,桜丘区民センター維持運営,1,桜丘区民センター維持運営,0,138915,141193,"147,977",147977,7157,7197,7197,7197,131758,133996,140780,140780,6784,2278,9062,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2157,宮坂区民センター維持運営,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,7,宮坂区民センター維持運営,1,宮坂区民センター維持運営,0,99981,102741,"106,955",106955,13906,15019,15019,15019,86075,87722,91936,91936,4214,2760,6974,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2158,世田谷地域地区会館維持運営,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,8,世田谷地域地区会館維持運営,1,世田谷地域地区会館維持運営,0,100526,103907,"106,442",106442,20325,20325,20325,20325,80201,83582,86117,86117,2535,3381,5916,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2159,世田谷地域区民集会所維持運営,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,9,世田谷地域区民集会所維持運営,1,世田谷地域区民集会所維持運営,0,23117,25229,"24,250",24250,11562,11562,11562,11562,11555,13667,12688,12688,-979,2112,1133,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2474,世田谷区民会館別館等維持運営,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,37,世田谷区民会館別館等維持運営,1,世田谷区民会館別館等維持運営,0,0,209504,"202,340",202340,0,501,501,501,0,209003,201839,201839,-7164,209504,202340,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2185,世田谷地域区民施設改修,1,一般会計,2,総務費,3,区民費,6,区民施設費,2,区民施設改修費,1,世田谷地域区民施設改修,1,世田谷地域区民施設改修,0,498040,79963,"116,052",116052,61858,0,0,0,436182,79963,116052,116052,36089,-418077,-381988,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,2,投資的経費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2198,防災事業運営（世田谷）,1,一般会計,2,総務費,3,区民費,9,防災対策費,1,防災対策事業費,7,防災事業運営（世田谷）,1,防災事業運営（世田谷）,0,13572,17991,"27,391",27391,144,144,144,144,13428,17847,27247,27247,9400,4419,13819,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2203,防災訓練・組織育成（世田谷）,1,一般会計,2,総務費,3,区民費,9,防災対策費,1,防災対策事業費,12,防災訓練・組織育成（世田谷）,1,防災訓練・組織育成（世田谷）,0,23135,24320,"31,218",31218,0,0,7146,7146,23135,24320,24072,24072,6898,1185,8083,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2208,防災施設管理（世田谷）,1,一般会計,2,総務費,3,区民費,9,防災対策費,1,防災対策事業費,17,防災施設管理（世田谷）,1,防災施設管理（世田谷）,0,9782,13240,"18,663",18663,0,0,600,600,9782,13240,18063,18063,5423,3458,8881,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,9086,会計年度任用職員の人件費（世田谷総合支所）,1,一般会計,9,職員費,1,職員費,2,総務職員費,1,総務関係事務従事職員の人件費,19,会計年度任用職員の人件費（世田谷総合支所）,1,会計年度任用職員の人件費（世田谷総合支所）,0,10103,10120,"10,445",10445,4717,4754,4806,4806,5386,5366,5639,5639,325,17,342,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,3,人件費,0,0,0,0
2024,0,当初,1,一次経費,2135200000,世支＊地域調整課,2294,自主的コミュニティづくりの支援,1,一般会計,2,総務費,3,区民費,1,区民総務費,2,まちづくり推進事業費,24,自主的コミュニティづくりの支援,1,自主的コミュニティづくりの支援,0,25428,25310,"25,310",25310,0,0,0,0,25428,25310,25310,25310,0,-118,-118,,,,,,,,,,6,豊かなコミュニティ活動の発展と住民自治の推進,3,暮らし・コミュニティ,1,地域コミュニティの促進,1,豊かな地域社会づくりに向けた区民による協働のまちづくり,1,豊かな地域社会づくりに向けた区民による協働のまちづくり,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,25310,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135200000,世支＊地域調整課,2427,地域調整事務,1,一般会計,2,総務費,3,区民費,1,区民総務費,2,まちづくり推進事業費,27,地域調整事務,1,地域調整事務,0,2202,2628,"2,628",2628,0,0,0,0,2202,2628,2628,2628,0,426,426,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,2628,0
2024,0,当初,1,一次経費,2135600000,世支＊街づくり課,7414,街づくり事務（世田谷）,1,一般会計,7,土木費,6,都市計画費,1,都市計画総務費,1,都市計画事業費,35,街づくり事務（世田谷）,1,街づくり事務（世田谷）,0,879,860,834,834,0,0,0,0,879,860,834,834,-26,-19,-45,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135600000,世支＊街づくり課,7588,三軒茶屋駅周辺地区街づくりの推進,1,一般会計,7,土木費,6,都市計画費,1,都市計画総務費,1,都市計画事業費,55,三軒茶屋駅周辺地区街づくりの推進,1,三軒茶屋駅周辺地区街づくりの推進,0,9971,9851,"8,531",8531,0,0,0,0,9971,9851,8531,8531,-1320,-120,-1440,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,2,投資的経費,9851,0,8531,0
