revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,general_revenue_thousand_yen,specific_revenue_thousand_yen,special_account_revenue_thousand_yen,section_count,detail_count,validation_status,source_type
2026_general_revenue_13_03_03,2026,general,一般会計,revenue,13,国庫支出金,03,国庫委託金,03,土木費委託金,595,628,33,628,0,0,628,0,1,1,ok,derived
2026_general_revenue_13_03_04,2026,general,一般会計,revenue,13,国庫支出金,03,国庫委託金,04,総務費委託金,5913,8837,2924,8837,0,0,8837,0,1,1,ok,derived
2026_general_revenue_14_01_01,2026,general,一般会計,revenue,14,都支出金,01,都負担金,01,民生費負担金,16431316,17038475,607159,17038475,0,0,17038475,0,25,38,ok,derived
2026_general_revenue_14_01_02,2026,general,一般会計,revenue,14,都支出金,01,都負担金,02,衛生費負担金,12738,12688,-50,12688,0,0,12688,0,3,3,ok,derived
2026_general_revenue_14_01_03,2026,general,一般会計,revenue,14,都支出金,01,都負担金,03,土木費負担金,63859,90665,26806,90665,0,0,90665,0,1,1,ok,derived
2026_general_revenue_14_01_04,2026,general,一般会計,revenue,14,都支出金,01,都負担金,04,教育費負担金,997,1047,50,1047,0,0,1047,0,1,1,ok,derived
2026_general_revenue_14_01_05,2026,general,一般会計,revenue,14,都支出金,01,都負担金,05,総務費負担金,7906,0,-7906,0,0,0,0,0,1,1,ok_zero_amount,derived
2026_general_revenue_14_02_01,2026,general,一般会計,revenue,14,都支出金,02,都補助金,01,総務費補助金,242104,377554,135450,377554,0,0,377554,0,17,28,ok,derived
2026_general_revenue_14_02_02,2026,general,一般会計,revenue,14,都支出金,02,都補助金,02,民生費補助金,8507619,9760442,1252823,9760442,0,0,9760442,0,40,302,ok,derived
2026_general_revenue_14_02_03,2026,general,一般会計,revenue,14,都支出金,02,都補助金,03,環境費補助金,0,30000,30000,30000,0,0,30000,0,1,1,ok,derived
2026_general_revenue_14_02_04,2026,general,一般会計,revenue,14,都支出金,02,都補助金,04,衛生費補助金,311307,243698,-67609,243698,0,0,243698,0,9,12,ok,derived
2026_general_revenue_14_02_05,2026,general,一般会計,revenue,14,都支出金,02,都補助金,05,産業経済費補助金,352012,371182,19170,371182,0,0,371182,0,15,27,ok,derived
2026_general_revenue_14_02_06,2026,general,一般会計,revenue,14,都支出金,02,都補助金,06,土木費補助金,2861125,2466014,-395111,2466014,0,0,2466014,0,20,44,ok,derived
2026_general_revenue_14_02_07,2026,general,一般会計,revenue,14,都支出金,02,都補助金,07,教育費補助金,2617476,3045904,428428,3045904,0,0,3045904,0,25,45,ok,derived
2026_general_revenue_14_02_08,2026,general,一般会計,revenue,14,都支出金,02,都補助金,08,民生費補助金（２）,3592610,9160024,5567414,9160024,0,0,9160024,0,48,128,ok,derived
