program_id,budget_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,major_program_name,budget_program_name,detail_program_name,department_name,amount_thousand_yen,general_revenue_thousand_yen,allocated_revenue_thousand_yen,major_program_code,budget_program_code,detail_program_code,budget_program_group_id,source_type,source_file,source_row_number,is_zero_amount,funding_data_status,department_display_name,department_mapping_status
2026_general_expenditure_02_01_01_03_02_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,人事事務運営費,非常勤職員等事務,非常勤職員等事務,総務＊人事課,13871,13871,0,03,02,01,2026_general_expenditure_02_01_01_03_02,official_csv,ippansaisyutu.csv,9298,false,raw_source_only,総務部 人事課,matched
2026_general_expenditure_02_01_01_03_03_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,人事事務運営費,職員研修,職員研修,総務＊研修担当課,54421,54421,0,03,03,01,2026_general_expenditure_02_01_01_03_03,official_csv,ippansaisyutu.csv,9313,false,raw_source_only,総務部 研修担当課,matched
2026_general_expenditure_02_01_01_04_01_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,職員互助会事業補助,職員互助会事業補助,総務＊職員厚生課,89186,89186,0,04,01,01,2026_general_expenditure_02_01_01_04_01,official_csv,ippansaisyutu.csv,9314,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_04_02_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,東京都職員共済組合業務経理負担金,東京都職員共済組合業務経理負担金,総務＊職員厚生課,68780,68780,0,04,02,01,2026_general_expenditure_02_01_01_04_02,official_csv,ippansaisyutu.csv,9315,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_04_03_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,東京都職員共済組合事務費負担金,東京都職員共済組合事務費負担金,総務＊職員厚生課,86584,86584,0,04,03,01,2026_general_expenditure_02_01_01_04_03,official_csv,ippansaisyutu.csv,9316,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_04_04_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,職員住宅維持管理,職員住宅維持管理,総務＊職員厚生課,140214,96750,43464,04,04,01,2026_general_expenditure_02_01_01_04_04,official_csv,ippansaisyutu.csv,9317,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_04_05_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,職員・非常勤職員等公務災害補償,職員・非常勤職員等公務災害補償,総務＊職員厚生課,32967,32967,0,04,05,01,2026_general_expenditure_02_01_01_04_05,official_csv,ippansaisyutu.csv,9318,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_04_06_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,職員の健康保持推進,職員の健康保持推進,総務＊職員厚生課,270706,270706,0,04,06,01,2026_general_expenditure_02_01_01_04_06,official_csv,ippansaisyutu.csv,9319,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_04_07_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,福利厚生事業,福利厚生事業,総務＊職員厚生課,16596,16596,0,04,07,01,2026_general_expenditure_02_01_01_04_07,official_csv,ippansaisyutu.csv,9320,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_04_08_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,安全衛生活動の推進,安全衛生活動の推進,総務＊職員厚生課,968,968,0,04,08,01,2026_general_expenditure_02_01_01_04_08,official_csv,ippansaisyutu.csv,9321,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_04_09_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,被服貸与,被服貸与,総務＊職員厚生課,32421,32421,0,04,09,01,2026_general_expenditure_02_01_01_04_09,official_csv,ippansaisyutu.csv,9322,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_04_10_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,職員の福利厚生事務運営費,職員住宅改修,職員住宅改修,総務＊職員厚生課,1824,1824,0,04,10,01,2026_general_expenditure_02_01_01_04_10,official_csv,ippansaisyutu.csv,9323,false,raw_source_only,総務部 職員厚生課,matched
2026_general_expenditure_02_01_01_05_01_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,供用物品整備費,供用物品整備,供用物品整備,会計＊会計課,12045,12045,0,05,01,01,2026_general_expenditure_02_01_01_05_01,official_csv,ippansaisyutu.csv,10070,false,raw_source_only,会計室 会計課,matched
2026_general_expenditure_02_01_02_01_01_01,2026_general_expenditure_02_01_02,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,02,広報広聴費,区政の広報、広聴費,区民相談等事業運営,区民相談等事業運営,世支＊地域振興課,19763,19763,0,01,01,01,2026_general_expenditure_02_01_02_01_01,official_csv,ippansaisyutu.csv,9081,false,raw_source_only,世田谷総合支所 地域振興課,matched
2026_general_expenditure_02_01_02_01_02_01,2026_general_expenditure_02_01_02,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,02,広報広聴費,区政の広報、広聴費,区の取材及び報道事務,区の取材及び報道事務,政策＊広報広聴課,5085,5085,0,01,02,01,2026_general_expenditure_02_01_02_01_02,official_csv,ippansaisyutu.csv,9265,false,raw_source_only,政策経営部 広報広聴課,matched
2026_general_expenditure_02_01_02_01_03_01,2026_general_expenditure_02_01_02,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,02,広報広聴費,区政の広報、広聴費,区のおしらせ『せたがや』発行,区のおしらせ『せたがや』発行,政策＊広報広聴課,200331,190350,9981,01,03,01,2026_general_expenditure_02_01_02_01_03,official_csv,ippansaisyutu.csv,9266,false,raw_source_only,政策経営部 広報広聴課,matched
2026_general_expenditure_02_01_02_01_04_01,2026_general_expenditure_02_01_02,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,02,広報広聴費,区政の広報、広聴費,区政ＰＲ,区政ＰＲ,政策＊広報広聴課,22068,13419,8649,01,04,01,2026_general_expenditure_02_01_02_01_04,official_csv,ippansaisyutu.csv,9267,false,raw_source_only,政策経営部 広報広聴課,matched
2026_general_expenditure_02_01_02_01_05_01,2026_general_expenditure_02_01_02,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,02,広報広聴費,区政の広報、広聴費,ＦＭ放送,ＦＭ放送,政策＊広報広聴課,48441,48441,0,01,05,01,2026_general_expenditure_02_01_02_01_05,official_csv,ippansaisyutu.csv,9268,false,raw_source_only,政策経営部 広報広聴課,matched
2026_general_expenditure_02_01_02_01_07_01,2026_general_expenditure_02_01_02,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,02,広報広聴費,区政の広報、広聴費,区民の声,区民の声,政策＊広報広聴課,9077,9077,0,01,07,01,2026_general_expenditure_02_01_02_01_07,official_csv,ippansaisyutu.csv,9269,false,raw_source_only,政策経営部 広報広聴課,matched
2026_general_expenditure_02_01_02_01_12_01,2026_general_expenditure_02_01_02,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,02,広報広聴費,区政の広報、広聴費,お問合せセンター運営,お問合せセンター運営,政策＊広報広聴課,131854,131854,0,01,12,01,2026_general_expenditure_02_01_02_01_12,official_csv,ippansaisyutu.csv,9270,false,raw_source_only,政策経営部 広報広聴課,matched
2026_general_expenditure_02_01_03_01_01_01,2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,区政運営の企画調整費,政策経営部庶務事務,政策経営部庶務事務,政策＊政策企画課,43590,14020,29570,01,01,01,2026_general_expenditure_02_01_03_01_01,official_csv,ippansaisyutu.csv,9241,false,raw_source_only,政策経営部 政策企画課,matched
2026_general_expenditure_02_01_03_01_03_01,2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,区政運営の企画調整費,計画行政の推進,計画行政の推進,政策＊政策企画課,138883,138883,0,01,03,01,2026_general_expenditure_02_01_03_01_03,official_csv,ippansaisyutu.csv,9242,false,raw_source_only,政策経営部 政策企画課,matched
2026_general_expenditure_02_01_03_01_07_01,2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,区政運営の企画調整費,せたがや自治政策研究所の運営,せたがや自治政策研究所の運営,政策＊政策研究・調査課,9257,9257,0,01,07,01,2026_general_expenditure_02_01_03_01_07,official_csv,ippansaisyutu.csv,9250,false,raw_source_only,政策経営部 政策研究・調査課,matched
2026_general_expenditure_02_01_03_01_11_01,2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,区政運営の企画調整費,寄附文化の醸成,寄附文化の醸成,政策＊ふるさと納税対策課,345154,345154,0,01,11,01,2026_general_expenditure_02_01_03_01_11,official_csv,ippansaisyutu.csv,9249,false,raw_source_only,政策経営部 ふるさと納税対策課,matched
2026_general_expenditure_02_01_03_01_12_01,2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,区政運営の企画調整費,区史編さん事業,区史編さん事業,政策＊政策企画課,18589,18589,0,01,12,01,2026_general_expenditure_02_01_03_01_12,official_csv,ippansaisyutu.csv,9243,false,raw_source_only,政策経営部 政策企画課,matched
2026_general_expenditure_02_01_03_01_13_01,2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,区政運営の企画調整費,行政経営改革の推進,行政経営改革の推進,政策＊政策企画課,16723,16723,0,01,13,01,2026_general_expenditure_02_01_03_01_13,official_csv,ippansaisyutu.csv,9244,false,raw_source_only,政策経営部 政策企画課,matched
2026_general_expenditure_02_01_03_01_18_01,2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,区政運営の企画調整費,官民連携の推進,官民連携の推進,政策＊官民行政手法改革課,27492,21325,6167,01,18,01,2026_general_expenditure_02_01_03_01_18,official_csv,ippansaisyutu.csv,9247,false,raw_source_only,政策経営部 官民行政手法改革課,matched
2026_general_expenditure_02_01_03_01_19_01,2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,区政運営の企画調整費,大学連携事業,大学連携事業,政策＊政策研究・調査課,2666,2666,0,01,19,01,2026_general_expenditure_02_01_03_01_19,official_csv,ippansaisyutu.csv,9251,false,raw_source_only,政策経営部 政策研究・調査課,matched
2026_general_expenditure_02_01_03_01_20_01,2026_general_expenditure_02_01_03,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,03,企画調整費,区政運営の企画調整費,自治体間連携事業,自治体間連携事業,政策＊官民行政手法改革課,372,372,0,01,20,01,2026_general_expenditure_02_01_03_01_20,official_csv,ippansaisyutu.csv,9248,false,raw_source_only,政策経営部 官民行政手法改革課,matched
2026_general_expenditure_02_01_04_01_01_01,2026_general_expenditure_02_01_04,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,04,電子計算費,電子計算事務運営費,事務センター維持,事務センター維持,ＤＸ＊ＤＸ推進担当課,158941,158922,19,01,01,01,2026_general_expenditure_02_01_04_01_01,official_csv,ippansaisyutu.csv,9271,false,raw_source_only,DX推進担当部 ＤＸ推進担当課,matched
2026_general_expenditure_02_01_04_01_04_01,2026_general_expenditure_02_01_04,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,04,電子計算費,電子計算事務運営費,システム開発及び改善,システム開発及び改善,ＤＸ＊ＤＸ推進担当課,976475,752240,224235,01,04,01,2026_general_expenditure_02_01_04_01_04,official_csv,ippansaisyutu.csv,9272,false,raw_source_only,DX推進担当部 ＤＸ推進担当課,matched
2026_general_expenditure_02_01_04_01_05_01,2026_general_expenditure_02_01_04,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,04,電子計算費,電子計算事務運営費,庁内電算機システム運用,企画総務領域,ＤＸ＊ＤＸ推進担当課,1515830,1515830,0,01,05,01,2026_general_expenditure_02_01_04_01_05,official_csv,ippansaisyutu.csv,9273,false,raw_source_only,DX推進担当部 ＤＸ推進担当課,matched
2026_general_expenditure_02_01_04_01_05_02,2026_general_expenditure_02_01_04,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,04,電子計算費,電子計算事務運営費,庁内電算機システム運用,区民生活領域,ＤＸ＊ＤＸ推進担当課,534436,529760,4676,01,05,02,2026_general_expenditure_02_01_04_01_05,official_csv,ippansaisyutu.csv,9274,false,raw_source_only,DX推進担当部 ＤＸ推進担当課,matched
2026_general_expenditure_02_01_04_01_05_03,2026_general_expenditure_02_01_04,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,04,電子計算費,電子計算事務運営費,庁内電算機システム運用,保健福祉領域,ＤＸ＊ＤＸ推進担当課,566305,565306,999,01,05,03,2026_general_expenditure_02_01_04_01_05,official_csv,ippansaisyutu.csv,9275,false,raw_source_only,DX推進担当部 ＤＸ推進担当課,matched
2026_general_expenditure_02_01_04_01_05_04,2026_general_expenditure_02_01_04,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,04,電子計算費,電子計算事務運営費,庁内電算機システム運用,都市整備領域,ＤＸ＊ＤＸ推進担当課,900472,805872,94600,01,05,04,2026_general_expenditure_02_01_04_01_05,official_csv,ippansaisyutu.csv,9276,false,raw_source_only,DX推進担当部 ＤＸ推進担当課,matched
2026_general_expenditure_02_01_04_01_05_05,2026_general_expenditure_02_01_04,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,04,電子計算費,電子計算事務運営費,庁内電算機システム運用,教育領域,ＤＸ＊ＤＸ推進担当課,466472,466472,0,01,05,05,2026_general_expenditure_02_01_04_01_05,official_csv,ippansaisyutu.csv,9277,false,raw_source_only,DX推進担当部 ＤＸ推進担当課,matched
