allocation_link_id,raw_allocation_id,revenue_detail_id,target_budget_program_identity_id,candidate_budget_program_group_ids,candidate_budget_program_names,candidate_department_names,target_budget_book_page,resolution_reason
ral_2026_general_103_012,ra_2026_general_103_012,rd_2026_general_revenue_14_02_02_92_45_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_109_010,ra_2026_general_109_010,rd_2026_general_revenue_14_02_07_09_02_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_109_012,ra_2026_general_109_012,rd_2026_general_revenue_14_02_07_15_07_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_109_013,ra_2026_general_109_013,rd_2026_general_revenue_14_02_07_15_10_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_109_014,ra_2026_general_109_014,rd_2026_general_revenue_14_02_07_15_11_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_110_005,ra_2026_general_110_005,rd_2026_general_revenue_14_02_07_31_02_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_110_010,ra_2026_general_110_010,rd_2026_general_revenue_14_02_07_53_01_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_111_003,ra_2026_general_111_003,rd_2026_general_revenue_14_02_07_59_01_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_112_001,ra_2026_general_112_001,rd_2026_general_revenue_14_02_07_65_03_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_116_013,ra_2026_general_116_013,rd_2026_general_revenue_14_02_08_68_06_3665150000,bpi_b20577636fe2f4187fd662b1f0fc27c1a15b49e5c5e258c012206f3f329eb489,2026_general_expenditure_09_01_03_01_18|2026_general_expenditure_09_01_03_01_23,会計年度任用職員の人件費（子ども・若者部）|会計年度任用職員の人件費（子ども・若者部）,子若＊子ども・若者支援課|子若＊子ども・若者支援課,469,public_source_does_not_distinguish_internal_groups
ral_2026_general_117_013,ra_2026_general_117_013,rd_2026_general_revenue_14_02_08_80_02_3665590000,bpi_020d87bdb6f88645e4edc52434ec6ef3f834637ed366ef07f96a394c3dedd7d4,2026_general_expenditure_03_02_01_01_94|2026_general_expenditure_03_02_01_02_03,ベビーシッター利用支援事業|ベビーシッター利用支援事業,子若＊保育認定・調整課|子若＊保育認定・調整課,379,public_source_does_not_distinguish_internal_groups
ral_2026_general_119_009,ra_2026_general_119_009,rd_2026_general_revenue_14_03_01_03_06_3065100000,bpi_9e17ec8a82ad9617376b596db8314c0b6c9e1f7f25ba095dd7e0658be37011d5,2026_general_expenditure_09_01_02_01_20|2026_general_expenditure_09_01_02_01_30,会計年度任用職員の人件費（政策経営部）|会計年度任用職員の人件費（政策経営部）,政策＊政策企画課|政策＊政策企画課,467,public_source_does_not_distinguish_internal_groups
ral_2026_general_119_021,ra_2026_general_119_021,rd_2026_general_revenue_14_03_02_01_03_3785100000,bpi_11c09a256ac1f0b08b604ed1e947ffc80d0cb7edff4703759634a064845e0bd8,2026_general_expenditure_09_01_05_01_14|2026_general_expenditure_09_01_05_01_16,会計年度任用職員の人件費（世田谷保健所）|会計年度任用職員の人件費（世田谷保健所）,世保＊健康企画課|世保＊健康企画課,469,public_source_does_not_distinguish_internal_groups
ral_2026_general_120_019,ra_2026_general_120_019,rd_2026_general_revenue_14_03_07_08_07_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_120_020,ra_2026_general_120_020,rd_2026_general_revenue_14_03_07_08_08_4960100000,bpi_b55e51de6d41c9f9e2302349c0f7a11790df1cb4835ebe1c8990b0dd44d25850,2026_general_expenditure_09_01_08_01_04|2026_general_expenditure_09_01_08_01_07|2026_general_expenditure_09_01_08_01_08|2026_general_expenditure_09_01_08_01_09|2026_general_expenditure_09_01_08_01_10,会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）|会計年度任用職員の人件費（教育委員会事務局）,教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課|教生＊教育総務課,471,public_source_does_not_distinguish_internal_groups
ral_2026_general_141_004,ra_2026_general_141_004,rd_2026_general_revenue_19_06_04_06_02_3405350000,bpi_980ce9b70e37b092adb0d85b25c10ed7a4c4a19e87b3a53d40a768a182ae7832,2026_general_expenditure_09_01_02_01_23|2026_general_expenditure_09_01_02_01_29,会計年度任用職員の人件費（生活文化政策部）|会計年度任用職員の人件費（生活文化政策部）,生政＊市民活動推進課|生政＊市民活動推進課,467,public_source_does_not_distinguish_internal_groups
